 electric dipole polarizability:    1507.6755513908979     
 m1, energy weight E*R sum:         60946.196389709949     
 m0, R(E) sum:                      3465.3421216529864     
 centroid m1/m0:                    17.587353355067375     
               E                R(E)           photodisintegration cross section
          0.00000000         18.85855461          0.00000000
          0.10000000         19.45204205          0.78245177
          0.20000000         20.07551235          1.61506130
          0.30000000         20.73100270          2.50169257
          0.40000000         21.42072090          3.44656481
          0.50000000         22.14706215          4.45429016
          0.60000000         22.91262748          5.52991582
          0.70000000         23.72024434          6.67897125
          0.80000000         24.57298936          7.90752103
          0.90000000         25.47421368          9.22222413
          1.00000000         26.42757108         10.63040047
          1.10000000         27.43704920         12.14010556
          1.20000000         28.50700423         13.76021444
          1.30000000         29.64219942         15.50051590
          1.40000000         30.84784778         17.37181840
          1.50000000         32.12965946         19.38606915
          1.60000000         33.49389411         21.55648774
          1.70000000         34.94741871         23.89771627
          1.80000000         36.49777131         26.42598759
          1.90000000         38.15323089         29.15931367
          2.00000000         39.92289370         32.11769606
          2.10000000         41.81675610         35.32336023
          2.20000000         43.84580369         38.80101547
          2.30000000         46.02210627         42.57814168
          2.40000000         48.35891735         46.68530356
          2.50000000         50.87077650         51.15649151
          2.60000000         53.57361127         56.02948698
          2.70000000         56.48483437         61.34624710
          2.80000000         59.62342915         67.15329970
          2.90000000         63.01001399         73.50213428
          3.00000000         66.66687201         80.44956668
          3.10000000         70.61792743         88.05804452
          3.20000000         74.88864346         96.39584574
          3.30000000         79.50580755        105.53710307
          3.40000000         84.49715938        115.56156164
          3.50000000         89.89080372        126.55394383
          3.60000000         95.71433500        138.60275505
          3.70000000        101.99358396        151.79831567
          3.80000000        108.75088067        166.22975128
          3.90000000        116.00271656        181.98062095
          4.00000000        123.75668726        199.12282395
          4.10000000        132.00761725        217.70841936
          4.20000000        140.73282205        237.75905326
          4.30000000        149.88657077        259.25285936
          4.40000000        159.39399189        282.10903781
          4.50000000        169.14493147        306.17087692
          4.60000000        178.98862187        331.18879251
          4.70000000        188.73040963        356.80597334
          4.80000000        198.13212426        382.55026671
          4.90000000        206.91778088        407.83666615
          5.00000000        214.78598908        431.98466319
          5.10000000        221.42951115        454.25326051
          5.20000000        226.56085923        473.89333708
          5.30000000        229.94092166        490.21264908
          5.40000000        231.40596354        502.64420812
          5.50000000        230.88770595        510.80586377
          5.60000000        228.42208258        514.53922694
          5.70000000        224.14464076        513.92008490
          5.80000000        218.27364988        509.23902745
          5.90000000        211.08469220        500.95778159
          6.00000000        202.88192125        489.65137135
          6.10000000        193.97099248        475.94744397
          6.20000000        184.63727090        460.47222322
          6.30000000        175.13102719        443.80891337
          6.40000000        165.65962607        426.47053070
          6.50000000        156.38557394        408.88616949
          6.60000000        147.42879420        391.39802055
          6.70000000        138.87149578        374.26592781
          6.80000000        130.76428195        357.67651220
          6.90000000        123.13252679        341.75451300
          7.00000000        115.98240527        326.57469274
          7.10000000        109.30624145        312.17324995
          7.20000000        103.08702645        298.55811829
          7.30000000         97.30206868        285.71780804
          7.40000000         91.92579939        273.62861412
          7.50000000         86.93179327        262.26013344
          7.60000000         82.29409441        251.57914604
          7.70000000         77.98796672        241.55203394
          7.80000000         73.99021033        232.14601897
          7.90000000         70.27919195        223.32956841
          8.00000000         66.83472434        215.07232205
          8.10000000         63.63789997        207.34484116
          8.20000000         60.67094631        200.11838859
          8.30000000         57.91713367        193.36484915
          8.40000000         55.36073767        187.05681281
          8.50000000         52.98704094        181.16778252
          8.60000000         50.78235064        175.67243736
          8.70000000         48.73400953        170.54687750
          8.80000000         46.83038526        165.76879429
          8.90000000         45.06083155        161.31753768
          9.00000000         43.41562430        157.17408319
          9.10000000         41.88588121        153.32092296
          9.20000000         40.46347547        149.74191591
          9.30000000         39.14095291        146.42212960
          9.40000000         37.91145846        143.34769753
          9.50000000         36.76867447        140.50570384
          9.60000000         35.70677043        137.88409730
          9.70000000         34.72036229        135.47163066
          9.80000000         33.80447903        133.25781834
          9.90000000         32.95453397        131.23290569
         10.00000000         32.16629945        129.38784409
         10.10000000         31.43588340        127.71426811
         10.20000000         30.75970726        126.20447243
         10.30000000         30.13448491        124.85138748
         10.40000000         29.55720243        123.64855379
         10.50000000         29.02509883        122.59009514
         10.60000000         28.53564768        121.67069125
         10.70000000         28.08653982        120.88555040
         10.80000000         27.67566711        120.23038270
         10.90000000         27.30110737        119.70137436
         11.00000000         26.96111042        119.29516335
         11.10000000         26.65408523        119.00881663
         11.20000000         26.37858817        118.83980930
         11.30000000         26.13331234        118.78600554
         11.40000000         25.91707779        118.84564159
         11.50000000         25.72882283        119.01731065
         11.60000000         25.56759602        119.29994974
         11.70000000         25.43254913        119.69282843
         11.80000000         25.32293079        120.19553954
         11.90000000         25.23808083        120.80799156
         12.00000000         25.17742527        121.53040286
         12.10000000         25.14047197        122.36329770
         12.20000000         25.12680676        123.30750384
