 electric dipole polarizability:    1.3612321345005143E-004
 m1, energy weight E*R sum:         1.9065607775600783E-002
 m0, R(E) sum:                      5.0387923243007122E-004
 centroid m1/m0:                    37.837653446546291     
               E                R(E)           photodisintegration cross section
          0.00000000          0.00000375          0.00000000
          0.10000000          0.00000376          0.00000015
          0.20000000          0.00000377          0.00000030
          0.30000000          0.00000378          0.00000046
          0.40000000          0.00000378          0.00000061
          0.50000000          0.00000379          0.00000076
          0.60000000          0.00000380          0.00000092
          0.70000000          0.00000380          0.00000107
          0.80000000          0.00000381          0.00000123
          0.90000000          0.00000382          0.00000138
          1.00000000          0.00000383          0.00000154
          1.10000000          0.00000383          0.00000170
          1.20000000          0.00000384          0.00000185
          1.30000000          0.00000385          0.00000201
          1.40000000          0.00000385          0.00000217
          1.50000000          0.00000386          0.00000233
          1.60000000          0.00000387          0.00000249
          1.70000000          0.00000388          0.00000265
          1.80000000          0.00000388          0.00000281
          1.90000000          0.00000389          0.00000297
          2.00000000          0.00000390          0.00000314
          2.10000000          0.00000390          0.00000330
          2.20000000          0.00000391          0.00000346
          2.30000000          0.00000392          0.00000363
          2.40000000          0.00000393          0.00000379
          2.50000000          0.00000393          0.00000396
          2.60000000          0.00000394          0.00000412
          2.70000000          0.00000395          0.00000429
          2.80000000          0.00000396          0.00000446
          2.90000000          0.00000396          0.00000462
          3.00000000          0.00000397          0.00000479
          3.10000000          0.00000398          0.00000496
          3.20000000          0.00000399          0.00000513
          3.30000000          0.00000399          0.00000530
          3.40000000          0.00000400          0.00000547
          3.50000000          0.00000401          0.00000565
          3.60000000          0.00000402          0.00000582
          3.70000000          0.00000403          0.00000599
          3.80000000          0.00000403          0.00000616
          3.90000000          0.00000404          0.00000634
          4.00000000          0.00000405          0.00000651
          4.10000000          0.00000406          0.00000669
          4.20000000          0.00000406          0.00000687
          4.30000000          0.00000407          0.00000704
          4.40000000          0.00000408          0.00000722
          4.50000000          0.00000409          0.00000740
          4.60000000          0.00000410          0.00000758
          4.70000000          0.00000410          0.00000776
          4.80000000          0.00000411          0.00000794
          4.90000000          0.00000412          0.00000812
          5.00000000          0.00000413          0.00000830
          5.10000000          0.00000413          0.00000848
          5.20000000          0.00000414          0.00000867
          5.30000000          0.00000415          0.00000885
          5.40000000          0.00000416          0.00000903
          5.50000000          0.00000417          0.00000922
          5.60000000          0.00000418          0.00000940
          5.70000000          0.00000418          0.00000959
          5.80000000          0.00000419          0.00000978
          5.90000000          0.00000420          0.00000997
          6.00000000          0.00000421          0.00001016
          6.10000000          0.00000422          0.00001035
          6.20000000          0.00000422          0.00001054
          6.30000000          0.00000423          0.00001073
          6.40000000          0.00000424          0.00001092
          6.50000000          0.00000425          0.00001111
          6.60000000          0.00000426          0.00001130
          6.70000000          0.00000427          0.00001150
          6.80000000          0.00000427          0.00001169
          6.90000000          0.00000428          0.00001189
          7.00000000          0.00000429          0.00001208
          7.10000000          0.00000430          0.00001228
          7.20000000          0.00000431          0.00001248
          7.30000000          0.00000432          0.00001268
          7.40000000          0.00000433          0.00001288
          7.50000000          0.00000433          0.00001307
          7.60000000          0.00000434          0.00001328
          7.70000000          0.00000435          0.00001348
          7.80000000          0.00000436          0.00001368
          7.90000000          0.00000437          0.00001388
          8.00000000          0.00000438          0.00001409
          8.10000000          0.00000439          0.00001429
          8.20000000          0.00000439          0.00001450
          8.30000000          0.00000440          0.00001470
          8.40000000          0.00000441          0.00001491
          8.50000000          0.00000442          0.00001512
          8.60000000          0.00000443          0.00001532
          8.70000000          0.00000444          0.00001553
          8.80000000          0.00000445          0.00001574
          8.90000000          0.00000446          0.00001596
          9.00000000          0.00000447          0.00001617
          9.10000000          0.00000447          0.00001638
          9.20000000          0.00000448          0.00001659
          9.30000000          0.00000449          0.00001681
          9.40000000          0.00000450          0.00001702
          9.50000000          0.00000451          0.00001724
          9.60000000          0.00000452          0.00001745
          9.70000000          0.00000453          0.00001767
          9.80000000          0.00000454          0.00001789
          9.90000000          0.00000455          0.00001811
         10.00000000          0.00000456          0.00001833
         10.10000000          0.00000457          0.00001855
         10.20000000          0.00000458          0.00001877
         10.30000000          0.00000458          0.00001900
         10.40000000          0.00000459          0.00001922
         10.50000000          0.00000460          0.00001944
         10.60000000          0.00000461          0.00001967
         10.70000000          0.00000462          0.00001990
         10.80000000          0.00000463          0.00002012
         10.90000000          0.00000464          0.00002035
         11.00000000          0.00000465          0.00002058
         11.10000000          0.00000466          0.00002081
         11.20000000          0.00000467          0.00002104
         11.30000000          0.00000468          0.00002127
         11.40000000          0.00000469          0.00002150
         11.50000000          0.00000470          0.00002174
         11.60000000          0.00000471          0.00002197
         11.70000000          0.00000472          0.00002221
         11.80000000          0.00000473          0.00002244
         11.90000000          0.00000474          0.00002268
         12.00000000          0.00000475          0.00002292
         12.10000000          0.00000476          0.00002316
         12.20000000          0.00000477          0.00002340
         12.30000000          0.00000478          0.00002364
         12.40000000          0.00000479          0.00002388
         12.50000000          0.00000480          0.00002412
         12.60000000          0.00000481          0.00002437
