 electric dipole polarizability:    2.6639448368235711E-003
 m1, energy weight E*R sum:         10.803044464322101     
 m0, R(E) sum:                      8.4598204329342702E-002
 centroid m1/m0:                    127.69827149363131     
               E                R(E)           photodisintegration cross section
        127.69827149          0.08459820          4.34548785
