 electric dipole polarizability:    9.6072958640515369E-005
 m1, energy weight E*R sum:         1.3514696915390706E-002
 m0, R(E) sum:                      3.5674347310181729E-004
 centroid m1/m0:                    37.883515563390581     
               E                R(E)           photodisintegration cross section
          0.00000000          0.00000265          0.00000000
          0.10000000          0.00000265          0.00000011
          0.20000000          0.00000266          0.00000021
          0.30000000          0.00000266          0.00000032
          0.40000000          0.00000267          0.00000043
          0.50000000          0.00000267          0.00000054
          0.60000000          0.00000268          0.00000065
          0.70000000          0.00000268          0.00000075
          0.80000000          0.00000269          0.00000086
          0.90000000          0.00000269          0.00000097
          1.00000000          0.00000270          0.00000108
          1.10000000          0.00000270          0.00000119
          1.20000000          0.00000271          0.00000131
          1.30000000          0.00000271          0.00000142
          1.40000000          0.00000272          0.00000153
          1.50000000          0.00000272          0.00000164
          1.60000000          0.00000273          0.00000175
          1.70000000          0.00000273          0.00000187
          1.80000000          0.00000274          0.00000198
          1.90000000          0.00000274          0.00000209
          2.00000000          0.00000275          0.00000221
          2.10000000          0.00000275          0.00000232
          2.20000000          0.00000276          0.00000244
          2.30000000          0.00000276          0.00000256
          2.40000000          0.00000277          0.00000267
          2.50000000          0.00000277          0.00000279
          2.60000000          0.00000278          0.00000290
          2.70000000          0.00000278          0.00000302
          2.80000000          0.00000279          0.00000314
          2.90000000          0.00000279          0.00000326
          3.00000000          0.00000280          0.00000338
          3.10000000          0.00000280          0.00000350
          3.20000000          0.00000281          0.00000362
          3.30000000          0.00000281          0.00000374
          3.40000000          0.00000282          0.00000386
          3.50000000          0.00000283          0.00000398
          3.60000000          0.00000283          0.00000410
          3.70000000          0.00000284          0.00000422
          3.80000000          0.00000284          0.00000434
          3.90000000          0.00000285          0.00000447
          4.00000000          0.00000285          0.00000459
          4.10000000          0.00000286          0.00000471
          4.20000000          0.00000286          0.00000484
          4.30000000          0.00000287          0.00000496
          4.40000000          0.00000288          0.00000509
          4.50000000          0.00000288          0.00000521
          4.60000000          0.00000289          0.00000534
          4.70000000          0.00000289          0.00000547
          4.80000000          0.00000290          0.00000559
          4.90000000          0.00000290          0.00000572
          5.00000000          0.00000291          0.00000585
          5.10000000          0.00000291          0.00000598
          5.20000000          0.00000292          0.00000611
          5.30000000          0.00000293          0.00000624
          5.40000000          0.00000293          0.00000637
          5.50000000          0.00000294          0.00000650
          5.60000000          0.00000294          0.00000663
          5.70000000          0.00000295          0.00000676
          5.80000000          0.00000295          0.00000689
          5.90000000          0.00000296          0.00000703
          6.00000000          0.00000297          0.00000716
          6.10000000          0.00000297          0.00000729
          6.20000000          0.00000298          0.00000743
          6.30000000          0.00000298          0.00000756
          6.40000000          0.00000299          0.00000770
          6.50000000          0.00000300          0.00000783
          6.60000000          0.00000300          0.00000797
          6.70000000          0.00000301          0.00000810
          6.80000000          0.00000301          0.00000824
          6.90000000          0.00000302          0.00000838
          7.00000000          0.00000303          0.00000852
          7.10000000          0.00000303          0.00000866
          7.20000000          0.00000304          0.00000880
          7.30000000          0.00000304          0.00000894
          7.40000000          0.00000305          0.00000908
          7.50000000          0.00000306          0.00000922
          7.60000000          0.00000306          0.00000936
          7.70000000          0.00000307          0.00000950
          7.80000000          0.00000307          0.00000964
          7.90000000          0.00000308          0.00000979
          8.00000000          0.00000309          0.00000993
          8.10000000          0.00000309          0.00001007
          8.20000000          0.00000310          0.00001022
          8.30000000          0.00000310          0.00001036
          8.40000000          0.00000311          0.00001051
          8.50000000          0.00000312          0.00001066
          8.60000000          0.00000312          0.00001080
          8.70000000          0.00000313          0.00001095
          8.80000000          0.00000314          0.00001110
          8.90000000          0.00000314          0.00001125
          9.00000000          0.00000315          0.00001140
          9.10000000          0.00000315          0.00001155
          9.20000000          0.00000316          0.00001170
          9.30000000          0.00000317          0.00001185
          9.40000000          0.00000317          0.00001200
          9.50000000          0.00000318          0.00001215
          9.60000000          0.00000319          0.00001231
          9.70000000          0.00000319          0.00001246
          9.80000000          0.00000320          0.00001261
          9.90000000          0.00000321          0.00001277
         10.00000000          0.00000321          0.00001292
         10.10000000          0.00000322          0.00001308
         10.20000000          0.00000323          0.00001324
         10.30000000          0.00000323          0.00001339
         10.40000000          0.00000324          0.00001355
         10.50000000          0.00000325          0.00001371
         10.60000000          0.00000325          0.00001387
         10.70000000          0.00000326          0.00001403
         10.80000000          0.00000327          0.00001419
         10.90000000          0.00000327          0.00001435
         11.00000000          0.00000328          0.00001451
         11.10000000          0.00000329          0.00001467
         11.20000000          0.00000329          0.00001484
         11.30000000          0.00000330          0.00001500
         11.40000000          0.00000331          0.00001516
         11.50000000          0.00000331          0.00001533
         11.60000000          0.00000332          0.00001549
         11.70000000          0.00000333          0.00001566
         11.80000000          0.00000333          0.00001583
         11.90000000          0.00000334          0.00001600
         12.00000000          0.00000335          0.00001616
         12.10000000          0.00000336          0.00001633
         12.20000000          0.00000336          0.00001650
         12.30000000          0.00000337          0.00001667
         12.40000000          0.00000338          0.00001684
         12.50000000          0.00000338          0.00001701
         12.60000000          0.00000339          0.00001719
         12.70000000          0.00000340          0.00001736
         12.80000000          0.00000341          0.00001753
