 electric dipole polarizability:    384.26933324500436     
 m1, energy weight E*R sum:         69381.922242387809     
 m0, R(E) sum:                      2426.7648038431062     
 centroid m1/m0:                    28.590295249260361     
               E                R(E)           photodisintegration cross section
         14.10000000          6.01739457         34.12871828
         14.20000000          6.10476650         34.86982577
         14.30000000          6.19406428         35.62904005
         14.40000000          6.28534511         36.40692476
         14.50000000          6.37866831         37.20406525
         14.60000000          6.47409545         38.02106957
         14.70000000          6.57169045         38.85856951
         14.80000000          6.67151966         39.71722173
         14.90000000          6.77365201         40.59770893
         15.00000000          6.87815910         41.50074109
         15.10000000          6.98511534         42.42705676
         15.20000000          7.09459810         43.37742447
         15.30000000          7.20668782         44.35264417
         15.40000000          7.32146816         45.35354875
         15.50000000          7.43902619         46.38100573
         15.60000000          7.55945252         47.43591892
         15.70000000          7.68284151         48.51923028
         15.80000000          7.80929142         49.63192187
         15.90000000          7.93890462         50.77501782
         16.00000000          8.07178782         51.94958659
         16.10000000          8.20805226         53.15674322
         16.20000000          8.34781397         54.39765176
         16.30000000          8.49119398         55.67352792
         16.40000000          8.63831863         56.98564172
         16.50000000          8.78931983         58.33532051
         16.60000000          8.94433535         59.72395202
         16.70000000          9.10350914         61.15298765
         16.80000000          9.26699166         62.62394602
         16.90000000          9.43494025         64.13841669
         17.00000000          9.60751952         65.69806414
         17.10000000          9.78490172         67.30463200
         17.20000000          9.96726718         68.95994762
         17.30000000         10.15480482         70.66592682
         17.40000000         10.34771255         72.42457914
         17.50000000         10.54619789         74.23801327
         17.60000000         10.75047846         76.10844294
         17.70000000         10.96078260         78.03819325
         17.80000000         11.17735001         80.02970738
         17.90000000         11.40043245         82.08555378
         18.00000000         11.63029444         84.20843394
         18.10000000         11.86721406         86.40119060
         18.20000000         12.11148381         88.66681672
         18.30000000         12.36341147         91.00846495
         18.40000000         12.62332111         93.42945788
         18.50000000         12.89155411         95.93329911
         18.60000000         13.16847025         98.52368504
         18.70000000         13.45444900        101.20451764
         18.80000000         13.74989071        103.97991821
         18.90000000         14.05521808        106.85424219
         19.00000000         14.37087763        109.83209514
         19.10000000         14.69734133        112.91835000
         19.20000000         15.03510835        116.11816574
         19.30000000         15.38470698        119.43700756
         19.40000000         15.74669662        122.88066869
         19.50000000         16.12167005        126.45529405
         19.60000000         16.51025583        130.16740592
         19.70000000         16.91312085        134.02393170
         19.80000000         17.33097323        138.03223418
         19.90000000         17.76456531        142.20014435
         20.00000000         18.21469705        146.53599710
         20.10000000         18.68221960        151.04867017
         20.20000000         19.16803932        155.74762645
         20.30000000         19.67312199        160.64296031
         20.40000000         20.19849757        165.74544798
         20.50000000         20.74526533        171.06660275
         20.60000000         21.31459939        176.61873533
         20.70000000         21.90775489        182.41501982
         20.80000000         22.52607470        188.46956617
         20.90000000         23.17099673        194.79749956
         21.00000000         23.84406201        201.41504754
         21.10000000         24.54692353        208.33963587
         21.20000000         25.28135596        215.58999393
         21.30000000         26.04926634        223.18627071
         21.40000000         26.85270584        231.15016277
         21.50000000         27.69388273        239.50505529
         21.60000000         28.57517665        248.27617786
         21.70000000         29.49915443        257.49077661
         21.80000000         30.46858744        267.17830463
