 electric dipole polarizability:    1771.2818890360086     
 m1, energy weight E*R sum:         47573.163161466226     
 m0, R(E) sum:                      3720.2073065873255     
 centroid m1/m0:                    12.787772089267447     
               E                R(E)           photodisintegration cross section
          0.00000000         18.22041610          0.00000000
          0.10000000         18.61712636          0.74886757
          0.20000000         19.02718477          1.53072405
          0.30000000         19.45119966          2.34725365
          0.40000000         19.88981433          3.20024403
          0.50000000         20.34370942          4.09159392
          0.60000000         20.81360555          5.02332117
          0.70000000         21.30026609          5.99757165
          0.80000000         21.80450029          7.01662879
          0.90000000         22.32716651          8.08292402
          1.00000000         22.86917589          9.19904812
          1.10000000         23.43149618         10.36776349
          1.20000000         24.01515598         11.59201765
          1.30000000         24.62124935         12.87495781
          1.40000000         25.25094080         14.21994692
          1.50000000         25.90547074         15.63058107
          1.60000000         26.58616136         17.11070858
          1.70000000         27.29442316         18.66445090
          1.80000000         28.03176195         20.29622541
          1.90000000         28.79978660         22.01077055
          2.00000000         29.60021742         23.81317330
          2.10000000         30.43489542         25.70889937
          2.20000000         31.30579241         27.70382644
          2.30000000         32.21502205         29.80428069
          2.40000000         33.16485205         32.01707710
          2.50000000         34.15771749         34.34956383
          2.60000000         35.19623550         36.80967125
          2.70000000         36.28322145         39.40596611
          2.80000000         37.42170672         42.14771144
          2.90000000         38.61495832         45.04493289
          3.00000000         39.86650054         48.10849222
          3.10000000         41.18013885         51.35016889
          3.20000000         42.55998629         54.78275055
          3.30000000         44.01049273         58.42013371
          3.40000000         45.53647713         62.27743568
          3.50000000         47.14316338         66.37111923
          3.60000000         48.83621996         70.71913140
          3.70000000         50.62180389         75.34105841
          3.80000000         52.50660949         80.25829844
          3.90000000         54.49792246         85.49425449
          4.00000000         56.60367986         91.07454983
          4.10000000         58.83253661         97.02726873
          4.20000000         61.19393924        103.38322537
          4.30000000         63.69820755        110.17626435
          4.40000000         66.35662500        117.44359626
          4.50000000         69.18153855        125.22617226
          4.60000000         72.18646876        133.56910162
          4.70000000         75.38623079        142.52211662
          4.80000000         78.79706697        152.14008883
          4.90000000         82.43679131        162.48360095
          5.00000000         86.32494594        173.61957760
          5.10000000         90.48296920        185.62197769
          5.20000000         94.93437409        198.57254909
          5.30000000         99.70493503        212.56164399
          5.40000000        104.82287916        227.68908926
          5.50000000        110.31907652        244.06510056
          5.60000000        116.22722077        261.81122091
          5.70000000        122.58398822        281.06125321
          5.80000000        129.42915823        301.96214108
          5.90000000        136.80567179        324.67473189
          6.00000000        144.75959711        349.37432969
          6.10000000        153.33996147        376.25091147
          6.20000000        162.59839706        405.50883915
          6.30000000        172.58853588        437.36585002
