  2 +     6.233901161 -1620.366098839     0.903310634
  2 +     7.122959935 -1619.477040065     0.871492637
  2 +     8.409142118 -1618.190857882     0.883382641
  2 +     9.186386631 -1617.413613369     0.873039074
  2 +    14.510764067 -1612.089235933     0.908726804
  2 +    17.331946580 -1609.268053420     0.856264491
  2 +    18.399941268 -1608.200058732     0.815312749
  2 +    19.160987976 -1607.439012024     0.796618572
  2 +    19.376577157 -1607.223422843     0.762145177
  2 +    19.673530866 -1606.926469134     0.801617969
  2 +    19.780834555 -1606.819165445     0.801261967
  2 +    19.988673244 -1606.611326756     0.805988034
  2 +    20.319539076 -1606.280460924     0.801664862
  2 +    20.622752048 -1605.977247952     0.789498856
  2 +    20.737760835 -1605.862239165     0.804722112
  2 +    20.826869163 -1605.773130837     0.790342090
  2 +    20.948226647 -1605.651773353     0.788194305
  2 +    21.194616447 -1605.405383553     0.765880034
  2 +    21.428993814 -1605.171006186     0.771750704
  2 +    21.547931057 -1605.052068943     0.772476138
  2 +    21.748440334 -1604.851559666     0.773183614
  2 +    21.804041316 -1604.795958684     0.772823663
  2 +    21.911111927 -1604.688888073     0.773117633
  2 +    21.974675047 -1604.625324953     0.777872412
  2 +    22.135185857 -1604.464814143     0.770321863
  2 +    22.426030996 -1604.173969004     0.763007510
  2 +    22.502629426 -1604.097370574     0.760217150
  2 +    22.556831050 -1604.043168950     0.734696324
  2 +    22.745286137 -1603.854713863     0.760856087
  2 +    22.800660091 -1603.799339909     0.767030543
  2 +    22.835793561 -1603.764206439     0.752721108
  2 +    23.035965395 -1603.564034605     0.764127359
  2 +    23.112637885 -1603.487362115     0.750930130
  2 +    23.501713777 -1603.098286223     0.691296525
  2 +    23.597327059 -1603.002672941     0.280359978
  2 +    23.693442138 -1602.906557862     0.277738607
  2 +    23.742943328 -1602.857056672     0.490079062
  2 +    23.845315159 -1602.754684841     0.398632309
  2 +    23.863503785 -1602.736496215     0.596365854
  2 +    23.953685562 -1602.646314438     0.670952065
  2 +    24.041242497 -1602.558757503     0.253343162
  2 +    24.051980576 -1602.548019424     0.560624280
  2 +    24.181301725 -1602.418698275     0.709422223
  2 +    24.307127972 -1602.292872028     0.722946310
  2 +    24.376581756 -1602.223418244     0.759409544
  2 +    24.472436057 -1602.127563943     0.762661857
  2 +    24.506322295 -1602.093677705     0.750840529
  2 +    24.624024391 -1601.975975609     0.526589741
  2 +    24.697731293 -1601.902268707     0.314374465
  2 +    24.805879412 -1601.794120588     0.264350859
  2 +    24.847420428 -1601.752579572     0.353574138
  2 +    24.943202358 -1601.656797642     0.467386183
  2 +    25.036262226 -1601.563737774     0.518528443
  2 +    25.166428611 -1601.433571389     0.385467385
  2 +    25.234486806 -1601.365513194     0.259943670
  2 +    25.293687271 -1601.306312729     0.648364030
  2 +    25.325291382 -1601.274708618     0.090993574
  2 +    25.367084757 -1601.232915243     0.218893567
  2 +    25.376647357 -1601.223352643     0.076191711
  2 +    25.431050255 -1601.168949745     0.593696852
  2 +    25.497598016 -1601.102401984     0.078811756
  2 +    25.564729124 -1601.035270876     0.140075232
  2 +    25.642402062 -1600.957597938     0.464928770
  2 +    25.659659383 -1600.940340617     0.276314907
  2 +    25.684587667 -1600.915412333     0.318224459
  2 +    25.730134438 -1600.869865562     0.153012164
  2 +    25.747251122 -1600.852748878     0.344002109
  2 +    25.789794448 -1600.810205552     0.073155247
  2 +    25.811039116 -1600.788960884     0.419916872
  2 +    25.884000689 -1600.715999311     0.112036110
  2 +    25.902508252 -1600.697491748     0.102722728
  2 +    25.930524907 -1600.669475093     0.203103422
  2 +    25.972888271 -1600.627111729     0.279251518
  2 +    25.986016222 -1600.613983778     0.409414579
  2 +    26.025567961 -1600.574432039     0.091137852
  2 +    26.061223480 -1600.538776520     0.246602436
  2 +    26.114329427 -1600.485670573     0.179851159
  2 +    26.126279898 -1600.473720102     0.436015906
  2 +    26.156094786 -1600.443905214     0.263919447
  2 +    26.196312584 -1600.403687416     0.170109289
  2 +    26.225718432 -1600.374281568     0.146315585
  2 +    26.247301385 -1600.352698615     0.206369892
  2 +    26.282623906 -1600.317376094     0.078803343
  2 +    26.300179026 -1600.299820974     0.153621859
  2 +    26.370880130 -1600.229119870     0.145795688
  2 +    26.410209169 -1600.189790831     0.234449980
  2 +    26.441490098 -1600.158509902     0.051540799
  2 +    26.446443618 -1600.153556382     0.160213467
  2 +    26.491346296 -1600.108653704     0.153056894
  2 +    26.502206407 -1600.097793593     0.189543751
  2 +    26.531293784 -1600.068706216     0.107899484
  2 +    26.534951037 -1600.065048963     0.186068825
  2 +    26.602187649 -1599.997812351     0.104559133
  2 +    26.613468157 -1599.986531843     0.027973472
  2 +    26.633645671 -1599.966354329     0.156174252
  2 +    26.684065854 -1599.915934146     0.063689054
  2 +    26.721105647 -1599.878894353     0.110775503
  2 +    26.728900718 -1599.871099282     0.067546374
  2 +    26.758543441 -1599.841456559     0.082822772
  2 +    26.773880282 -1599.826119718     0.456866395
