 electric dipole polarizability:    1.8421189905435604E-003
 m1, energy weight E*R sum:         10.657648044493033     
 m0, R(E) sum:                      6.9873898748594551E-002
 centroid m1/m0:                    152.52688393471678     
               E                R(E)           photodisintegration cross section
        152.52688393          0.06987390          4.28700263
