 electric dipole polarizability:    10745.360195872374     
 m1, energy weight E*R sum:         441379.57340134756     
 m0, R(E) sum:                      28320.492637752999     
 centroid m1/m0:                    15.585165803682413     
               E                R(E)           photodisintegration cross section
          0.00000000        100.67695889          0.00000000
          0.10000000        102.89479183          4.13890796
          0.20000000        105.19526456          8.46288738
          0.30000000        107.58275567         12.98243913
          0.40000000        110.06194184         17.70881651
          0.50000000        112.63782237         22.65409023
          0.60000000        115.31574605         27.83121968
          0.70000000        118.10144057         33.25413159
          0.80000000        121.00104483         38.93780657
          0.90000000        124.02114447         44.89837470
          1.00000000        127.16881082         51.15322107
          1.10000000        130.45164386         57.72110243
          1.20000000        133.87781951         64.62227636
          1.30000000        137.45614175         71.87864437
          1.40000000        141.19610013         79.51391059
          1.50000000        145.10793329         87.55375798
          1.60000000        149.20269916         96.02604419
          1.70000000        153.49235265        104.96101941
          1.80000000        157.98983154        114.39156904
          1.90000000        162.70915177        124.35348415
          2.00000000        167.66551297        134.88576319
          2.10000000        172.87541552        146.03094902
          2.20000000        178.35679044        157.83550540
          2.30000000        184.12914356        170.35023814
          2.40000000        190.21371560        183.63076635
          2.50000000        196.63365986        197.73805007
          2.60000000        203.41423946        212.73898122
          2.70000000        210.58304624        228.70704563
          2.80000000        218.17024339        245.72306475
          2.90000000        226.20883425        263.87602630
          3.00000000        234.73495951        283.26401417
          3.10000000        243.78822522        303.99524841
          3.20000000        253.41206366        326.18924670
          3.30000000        263.65412897        349.97811910
          3.40000000        274.56672882        375.50800748
          3.50000000        286.20729216        402.94068000
          3.60000000        298.63887201        432.45528923
          3.70000000        311.93067966        464.25029829
          3.80000000        326.15864357        498.54557376
          3.90000000        341.40598159        535.58463430
          4.00000000        357.76376861        575.63703013
          4.10000000        375.33147286        619.00080764
          4.20000000        394.21742148        666.00498407
          4.30000000        414.53913954        717.01191569
          4.40000000        436.42348419        772.41938507
          4.50000000        460.00646593        832.66215450
          4.60000000        485.43261062        898.21262645
          4.70000000        512.85366653        969.58011177
          4.80000000        542.42639938       1047.30802502
          4.90000000        574.30914438       1131.96809763
          5.00000000        608.65669916       1224.15042207
          5.10000000        645.61305085       1324.44782022
          5.20000000        685.30134629       1433.43269005
          5.30000000        727.81045954       1551.62417733
          5.40000000        773.17752298       1679.44333774
          5.50000000        821.36592657       1817.15405708
          5.60000000        872.23863651       1964.78811797
          5.70000000        925.52734103       2122.05425958
          5.80000000        980.79900209       2288.23373877
          5.90000000       1037.42293931       2462.06908149
          6.00000000       1094.54354180       2641.65847286
          6.10000000       1151.06581449       2824.37505343
          6.20000000       1205.66260833       3006.83680504
          6.30000000       1256.81259121       3184.95608328
          6.40000000       1302.87564481       3354.09466298
          6.50000000       1342.20658209       3509.33717332
          6.60000000       1373.29907187       3645.87217364
          6.70000000       1394.94133111       3759.43967911
          6.80000000       1406.35705197       3846.77587601
          6.90000000       1407.30317633       3905.97207905
          7.00000000       1398.10284274       3936.67475007
          7.10000000       1379.60594925       3940.08674264
          7.20000000       1353.08659691       3918.77622414
          7.30000000       1320.10012379       3876.34218744
          7.40000000       1282.32812755       3817.00970464
          7.50000000       1241.43709226       3745.22881920
          7.60000000       1198.96764581       3665.33295792
          7.70000000       1156.26117359       3581.28631896
          7.80000000       1114.42193229       3496.52493077
          7.90000000       1074.30762081       3413.87899653
          8.00000000       1036.53957243       3335.55610399
          8.10000000       1001.52437793       3263.16413911
          8.20000000        969.48066539       3197.75642735
          8.30000000        940.46702026       3139.88714541
          8.40000000        914.40905484       3089.67059708
          8.50000000        891.12513931       3046.84244623
          8.60000000        870.35116448       3010.82381008
          8.70000000        851.76489134       2980.78988313
          8.80000000        835.01002906       2955.74347644
          8.90000000        819.71939095       2934.59106724
          9.00000000        805.53569398       2916.21590634
          9.10000000        792.12825167       2899.54111341
          9.20000000        779.20428660       2883.57688996
          9.30000000        766.51480784       2867.45013060
          9.40000000        753.85646156       2850.42022689
          9.50000000        741.07172399       2831.88898344
          9.60000000        728.04968885       2811.41287597
          9.70000000        714.72847074       2788.72180496
          9.80000000        701.09848448       2763.74188185
          9.90000000        687.20446596       2736.61399549
         10.00000000        673.14379474       2707.69798994
         10.10000000        659.05960400       2677.55526048
         10.20000000        645.12883279       2646.90893478
         10.30000000        631.54698009       2616.58750621
         10.40000000        618.51219404       2587.46200611
         10.50000000        606.21125041       2560.38731532
         10.60000000        594.80917214       2536.15561660
         10.70000000        584.44316671       2515.46592586
         10.80000000        575.22061785       2498.90977343
         10.90000000        567.22028030       2486.97044384
