 electric dipole polarizability:    1355.6440827161289     
 m1, energy weight E*R sum:         60743.036949237627     
 m0, R(E) sum:                      3740.5545564818608     
 centroid m1/m0:                    16.239045850562022     
               E                R(E)           photodisintegration cross section
          5.27736718       1100.19174941       2335.49032122
          6.82615839          3.76516123         10.33837581
          7.27989298         15.93949571         46.67581907
          8.47860539          1.89262490          6.45477858
         20.46661704       2336.81106276      19238.09386170
         22.12718049          7.14481178         63.59299022
         23.35092410        134.71307181       1265.33694146
         24.04478650         29.18099613        282.23665347
         24.91647615         57.73664001        578.66938196
         25.97056441         18.14012015        189.50205467
         26.30830622          1.40051733         14.82087177
         26.49006724          5.31261839         56.60881420
         26.60793732          0.19954667          2.13573850
         27.36543254          4.70900279         51.83506422
         28.16593357          1.65020683         18.69626723
         28.89370218          3.21857733         37.40757162
         28.99662492          0.29291307          3.41647757
         29.29834747          0.07464858          0.87974549
         29.60198547          0.55982356          6.66598592
         29.93939081          5.28947611         63.70125599
         30.25336185          4.61723617         56.18858648
         30.58909690          0.93553850         11.51120256
         31.09019052          0.00305224          0.03817104
         31.31745956          1.01603466         12.79933559
         31.68973458          1.12755226         14.37300769
         32.00462313          0.01622881          0.20892566
         32.39791229          0.03867346          0.50399064
         32.96838315          0.03068497          0.40692625
         33.31568729          0.25356349          3.39803522
         33.67901295          0.21647845          2.93269165
         33.78605285          0.04640798          0.63069956
         33.90625155          0.01380886          0.18833452
         34.06099091          0.00896812          0.12287152
         34.42450564          0.02326682          0.32217887
         34.57711253          0.21772211          3.02819352
         34.68692762          0.86369196         12.05083357
         34.84759030          0.00131638          0.01845209
         34.93453297          0.39275701          5.51913819
         35.15680849          0.00005080          0.00071844
         35.23603102          0.03832363          0.54318274
         35.26833816          0.40609980          5.76116274
         35.37021070          0.04303234          0.61224458
         35.50568332          0.02906151          0.41505762
         35.58394747          0.03133051          0.44844999
         35.67387233          0.01204419          0.17283040
         35.72812071          0.01405376          0.20197378
         35.83080608          0.11759803          1.69491920
         35.92874934          0.00002465          0.00035622
         35.96867872          0.12808244          1.85313244
         36.07286906          0.00018738          0.00271899
         36.15456303          0.20331960          2.95688709
         36.22987349          0.11534756          1.68099958
         36.29101511          0.00074251          0.01083904
         36.33823167          0.09804429          1.43310657
         36.43732798          0.05479017          0.80304807
         36.47497018          0.04173697          0.61236203
         36.60038549          0.02207729          0.32503022
         36.61459534          0.01661548          0.24471441
         36.64798433          0.01984591          0.29255904
         36.69435923          0.05834654          0.86120553
         36.76687363          0.00194131          0.02871074
         36.82772309          0.11191563          1.65789875
         36.86296973          0.00197109          0.02922731
         36.94422984          0.00503507          0.07482458
         36.96983657          0.06965322          1.03581241
         37.07454404          0.04217078          0.62889738
         37.10172988          0.17964536          2.68103541
         37.12666384          0.00715914          0.10691514
         37.15072308          0.00012197          0.00182272
         37.19165429          0.00658139          0.09845904
         37.25882901          0.00139698          0.02093680
         37.27825591          0.02088492          0.31317043
         37.32337705          0.00826184          0.12403662
         37.39877522          0.06341073          0.95392116
         37.45237645          0.00302628          0.04559115
         37.49489422          0.00041903          0.00631989
         37.55259606          0.01538741          0.23243299
         37.59935280          0.01272017          0.19238262
         37.63895908          0.00682316          0.10330358
         37.64953947          0.03265718          0.49457339
         37.67979237          0.06988067          1.05915106
         37.74464394          0.06784880          1.03012488
         37.76785300          0.00410012          0.06228905
         37.83609929          0.13460062          2.04854627
         37.89128252          0.00361649          0.05512123
         37.94831936          0.01760365          0.26871233
         37.97321897          0.04561088          0.69668792
         37.99649954          0.00066211          0.01011971
         38.04481529          0.00081111          0.01241277
         38.11820300          0.00002452          0.00037590
         38.14836226          0.00852121          0.13075843
         38.17281902          0.00148208          0.02275719
         38.20368236          0.00702776          0.10799774
         38.23256223          0.00222826          0.03426829
         38.30142706          0.00001303          0.00020082
         38.32573600          0.07333691          1.13059084
         38.33625356          0.00083641          0.01289803
         38.41124062          0.00934118          0.14432862
         38.42474864          0.01417271          0.21905652
         38.43665554          0.00485313          0.07503437
