 electric dipole polarizability:    3.4274094260609142E-003
 m1, energy weight E*R sum:         10.008560503434291     
 m0, R(E) sum:                      9.2362196426635332E-002
 centroid m1/m0:                    108.36208850213127     
               E                R(E)           photodisintegration cross section
        108.36208850          0.09236220          4.02590938
