 electric dipole polarizability:    9284.8573881178909     
 m1, energy weight E*R sum:         444002.85755879560     
 m0, R(E) sum:                      29727.646476569309     
 centroid m1/m0:                    14.935688161817623     
               E                R(E)           photodisintegration cross section
          6.79493334       5764.01315246      15754.42437358
          7.52648800         70.56049324        213.62218716
          9.03629335        635.62888295       2310.39544913
          9.79744185        701.24731747       2763.60699561
         16.75630346      19939.98710113     134398.82315360
         19.10088049         71.67056868        550.66390949
         19.14478074        157.44752888       1212.49127343
         19.83908211        101.73094081        811.83358103
         20.18190954        117.28895071        952.16394490
         20.41313389          0.58201096          4.77895813
         20.70140830        233.93105392       1947.96049213
         21.00925545          1.32840875         11.22625144
         21.20582916         59.86089541        510.61179534
         21.47138583         63.96724064        552.47174122
         21.56939948        144.14256682       1250.61225824
         21.63329855         23.33824317        203.08754056
         21.70377754        102.95187553        898.79773226
         21.87543060         45.88365679        403.74486229
         21.96152884        182.11404777       1608.78642576
         22.17494602          0.16785544          1.49723639
         22.34219022         99.77672333        896.70038979
         22.43112001         24.29225536        219.18517301
         22.49091565          0.52935528          4.78902121
         22.51086606         66.34530068        600.75133763
         22.54224067          0.26813988          2.43136898
         22.71497345         19.37381442        177.01894364
         22.74544093        185.55055263       1697.65324607
         22.78449582          1.43168021         13.12132886
         22.79975440         75.64560109        693.75515436
         22.85069668          0.01053023          0.09678981
         22.87801690         12.57595423        115.73153154
         22.91065787        138.96256437       1280.64204365
         22.92698632         13.87476355        127.95726198
         22.97426460          2.09434434         19.35450557
         23.01786124          3.91073239         36.20890919
         23.04585566          8.70560209         80.70194952
         23.05582456          4.49330765         41.67150543
         23.06828856         12.06030135        111.90923085
         23.09725753          5.79094003         53.80242611
         23.11604520          3.57032463         33.19812967
         23.17517998          0.18900162          1.76189900
         23.24580378          1.82882307         17.10049319
         23.29974897          1.75918012         16.48746648
         23.31862504          0.46337255          4.34635921
         23.32858845          2.02209657         18.97504132
         23.37607869          0.29978408          2.81885410
         23.42234232          2.80685369         26.44493323
         23.44127060         12.01568317        113.29793452
         23.46299980          4.39034247         41.43566486
         23.48630651         20.71577856        195.70790156
         23.50477494         16.51449285        156.13983431
         23.53846344         19.38833659        183.57394279
         23.55631509          2.47009911         23.40529447
         23.57943491        146.81499375       1392.50312918
         23.58936095          4.96204325         47.08353882
         23.64569003          6.83623038         65.02210990
         23.66377666          1.92780267         18.35012434
         23.67359678         53.32718451        507.81471002
         23.69982161          9.51774897         90.73434306
         23.70876758         23.40765079        223.23340569
         23.75910131          4.17682432         39.91798348
         23.76364594          5.01976063         47.98311710
         23.78781696          9.49918585         90.89360917
         23.79850169         30.86317090        295.44900723
         23.80599849         24.28837789        232.58263618
         23.83620086          4.61085633         44.20903172
         23.85582982          3.41641578         32.78367404
         23.86326315          7.20188338         69.13027597
         23.92939362          5.34208617         51.42034177
         23.94306852         64.41614335        620.39302154
         23.95772501          0.00264301          0.02547047
         23.98678821          9.22780233         89.03540928
         24.01004818         21.67725011        209.35801688
         24.02536933         17.19503644        166.17494695
         24.03697709         10.87511848        105.14926047
         24.07167698          6.76734212         65.52648251
         24.07699397          0.10252518          0.99294495
         24.08313177          6.24318084         60.47992624
         24.09683637          1.58434242         15.35682571
         24.11956116         20.00785249        194.11641167
         24.14399534          7.39276545         71.79735447
         24.15328262          0.52206117          5.07212484
         24.15939617          0.28576927          2.77711571
         24.18674094          0.06083658          0.59188116
         24.20156069          0.74124537          7.21602029
         24.22554521          0.49221193          4.79642958
         24.23579480          1.48030130         14.43111088
         24.26918920          0.08320733          0.81228648
         24.27458118          1.93447965         18.88897047
         24.28987215          2.10913519         20.60734406
         24.30191174          0.73190220          7.15460841
         24.31171476          0.75512148          7.38456286
         24.32471099          5.27355473         51.59926579
         24.33216259          9.72091283         95.14372144
         24.33539774          1.72603505         16.89586515
         24.34913222          4.79897782         47.00289489
         24.36512029          5.68008235         55.66927534
         24.37757956          0.55079802          5.40101428
         24.40008488          0.61169600          6.00370514
         24.42269207          1.41450680         13.89603657
