 electric dipole polarizability:    1317.8135532750723     
 m1, energy weight E*R sum:         63187.471876267402     
 m0, R(E) sum:                      3324.5612250459008     
 centroid m1/m0:                    19.006259051642221     
               E                R(E)           photodisintegration cross section
          0.00000000         15.44764533          0.00000000
          0.10000000         15.90446757          0.63975179
          0.20000000         16.38309729          1.31800902
          0.30000000         16.88494048          2.03757294
          0.40000000         17.41151547          2.80148912
          0.50000000         17.96446349          3.61307213
          0.60000000         18.54556034          4.47593309
          0.70000000         19.15672934          5.39401040
          0.80000000         19.80005564          6.37160396
          0.90000000         20.47780210          7.41341354
          1.00000000         21.19242688          8.52458154
          1.10000000         21.94660301          9.71074095
          1.20000000         22.74324007         10.97806904
          1.30000000         23.58550832         12.33334752
          1.40000000         24.47686539         13.78403005
          1.50000000         25.42108611         15.33831797
          1.60000000         26.42229544         17.00524537
          1.70000000         27.48500516         18.79477453
          1.80000000         28.61415452         20.71790317
          1.90000000         29.81515520         22.78678482
          2.00000000         31.09394119         25.01486390
          2.10000000         32.45702365         27.41702718
          2.20000000         33.91155139         30.00977333
          2.30000000         35.46537709         32.81140246
          2.40000000         37.12712953         35.84222739
          2.50000000         38.90629173         39.12480838
          2.60000000         40.81328490         42.68421263
          2.70000000         42.85955738         46.54829968
          2.80000000         45.05767748         50.74803249
          2.90000000         47.42142807         55.31781304
          3.00000000         49.96589986         60.29583917
          3.10000000         52.70757849         65.72447624
          3.20000000         55.66441865         71.65063306
          3.30000000         58.85589531         78.12612539
          3.40000000         62.30301846         85.20800179
          3.50000000         66.02829230         92.95879500
          3.60000000         70.05559357        101.44664616
          3.70000000         74.40993470        110.74522845
          3.80000000         79.11706733        120.93336940
          3.90000000         84.20286856        132.09423677
          4.00000000         89.69243819        144.31391122
          4.10000000         95.60881936        157.67912014
          4.20000000        101.97124158        172.27385554
          4.30000000        108.79277586        188.17455143
          4.40000000        116.07729607        205.44346696
          4.50000000        123.81566599        224.11993492
          4.60000000        131.98113506        244.20922570
          4.70000000        140.52404273        265.66899283
          4.80000000        149.36612045        288.39366371
          4.90000000        158.39495055        312.19776422
          5.00000000        167.45948056        336.80002880
          5.10000000        176.36784828        361.81116833
          5.20000000        184.88903748        386.72912551
          5.30000000        192.75988793        410.94614486
          5.40000000        199.69853230        433.77149446
          5.50000000        205.42429349        454.47172357
          5.60000000        209.68250608        472.32681430
          5.70000000        212.27097384        486.69607504
          5.80000000        213.06346480        497.08350805
          5.90000000        212.02544727        503.19043316
          6.00000000        209.21853936        504.94466970
          6.10000000        204.79262738        502.50053525
          6.20000000        198.96746822        496.21071626
          6.30000000        192.00780040        486.57724804
          6.40000000        184.19684664        474.19234729
          6.50000000        175.81252931        459.67994262
          6.60000000        167.10921829        443.64615210
          6.70000000        158.30608047        426.64314771
          6.80000000        149.58166090        409.14725307
          6.90000000        141.07345883        391.54959681
          7.00000000        132.88095663        374.15638589
          7.10000000        125.07065233        357.19563213
          7.20000000        117.68194115        340.82755239
          7.30000000        110.73303496        325.15649928
          7.40000000        104.22641012        310.24291705
          7.50000000         98.15350297        296.11434225
