 electric dipole polarizability:    7.1939643880911304E-004
 m1, energy weight E*R sum:        0.14290485200248293     
 m0, R(E) sum:                      3.4363831703480090E-003
 centroid m1/m0:                    41.585831648689712     
               E                R(E)           photodisintegration cross section
          0.00000000          0.00001690          0.00000000
          0.10000000          0.00001694          0.00000068
          0.20000000          0.00001698          0.00000137
          0.30000000          0.00001702          0.00000205
          0.40000000          0.00001706          0.00000275
          0.50000000          0.00001710          0.00000344
          0.60000000          0.00001715          0.00000414
          0.70000000          0.00001719          0.00000484
          0.80000000          0.00001723          0.00000554
          0.90000000          0.00001727          0.00000625
          1.00000000          0.00001731          0.00000696
          1.10000000          0.00001735          0.00000768
          1.20000000          0.00001739          0.00000839
          1.30000000          0.00001743          0.00000912
          1.40000000          0.00001748          0.00000984
          1.50000000          0.00001752          0.00001057
          1.60000000          0.00001756          0.00001130
          1.70000000          0.00001760          0.00001204
          1.80000000          0.00001764          0.00001277
          1.90000000          0.00001769          0.00001352
          2.00000000          0.00001773          0.00001426
          2.10000000          0.00001777          0.00001501
          2.20000000          0.00001781          0.00001576
          2.30000000          0.00001786          0.00001652
          2.40000000          0.00001790          0.00001728
          2.50000000          0.00001794          0.00001804
          2.60000000          0.00001799          0.00001881
          2.70000000          0.00001803          0.00001958
          2.80000000          0.00001808          0.00002036
          2.90000000          0.00001812          0.00002114
          3.00000000          0.00001816          0.00002192
          3.10000000          0.00001821          0.00002270
          3.20000000          0.00001825          0.00002349
          3.30000000          0.00001830          0.00002429
          3.40000000          0.00001834          0.00002509
          3.50000000          0.00001839          0.00002589
          3.60000000          0.00001843          0.00002669
          3.70000000          0.00001848          0.00002750
          3.80000000          0.00001852          0.00002831
          3.90000000          0.00001857          0.00002913
          4.00000000          0.00001861          0.00002995
          4.10000000          0.00001866          0.00003078
          4.20000000          0.00001871          0.00003160
          4.30000000          0.00001875          0.00003244
          4.40000000          0.00001880          0.00003327
          4.50000000          0.00001885          0.00003411
          4.60000000          0.00001889          0.00003496
          4.70000000          0.00001894          0.00003581
          4.80000000          0.00001899          0.00003666
          4.90000000          0.00001904          0.00003752
          5.00000000          0.00001908          0.00003838
          5.10000000          0.00001913          0.00003925
          5.20000000          0.00001918          0.00004012
