 electric dipole polarizability:    13687.854888803138     
 m1, energy weight E*R sum:         460088.20294449327     
 m0, R(E) sum:                      32452.813016003467     
 centroid m1/m0:                    14.177143988029938     
               E                R(E)           photodisintegration cross section
          0.00000000        137.39183958          0.00000000
          0.10000000        140.60633205          5.65584182
          0.20000000        143.94681744         11.58042342
          0.30000000        147.42029197         17.78979312
          0.40000000        151.03425016         24.30120511
          0.50000000        154.79672758         31.13322825
          0.60000000        158.71634786         38.30586624
          0.70000000        162.80237442         45.84069047
          0.80000000        167.06476734         53.76098697
          0.90000000        171.51424617         62.09191927
          1.00000000        176.16235909         70.86070901
          1.10000000        181.02155936         80.09683635
          1.20000000        186.10528972         89.83226279
          1.30000000        191.42807573        100.10167900
          1.40000000        197.00562917        110.94278078
          1.50000000        202.85496239        122.39657668
          1.60000000        208.99451516        134.50773116
          1.70000000        215.44429528        147.32494791
          1.80000000        222.22603455        160.90139807
          1.90000000        229.36336191        175.29519931
          2.00000000        236.88199556        190.56995199
          2.10000000        244.80995629        206.79533952
          2.20000000        253.17780426        224.04780101
          2.30000000        262.01890165        242.41128498
          2.40000000        271.36970396        261.97809420
          2.50000000        281.27008263        282.84983213
          2.60000000        291.76368186        305.13846325
          2.70000000        302.89831241        328.96749949
          2.80000000        314.72638520        354.47332655
          2.90000000        327.30538674        381.80668375
          3.00000000        340.69839824        411.13431126
          3.10000000        354.97465875        442.64077754
          3.20000000        370.21017111        476.53049776
          3.30000000        386.48834690        513.02995038
          3.40000000        403.90068287        552.39009219
          3.50000000        422.54745582        594.88896281
          3.60000000        442.53841544        640.83445385
          3.70000000        463.99344429        690.56719638
          3.80000000        487.04313949        744.46348796
          3.90000000        511.82925122        802.93813561
          4.00000000        538.50488728        866.44702797
          4.10000000        567.23435785        935.48916362
          4.20000000        598.19248980       1010.60774571
          4.30000000        631.56318195       1092.38979816
          4.40000000        667.53690005       1181.46355668
          4.50000000        706.30672303       1278.49263282
          4.60000000        748.06245012       1384.16563571
          4.70000000        792.98216922       1499.17957195
          4.80000000        841.22058285       1624.21495015
          4.90000000        892.89331512       1759.90014645
          5.00000000        948.05642477       1906.76234096
          5.10000000       1006.68049341       2065.16238078
          5.20000000       1068.61903982       2235.21152145
          5.30000000       1133.57175341       2416.66949996
          5.40000000       1201.04426790       2608.82621922
          5.50000000       1270.30799814       2810.37386370
          5.60000000       1340.36589396       3019.28265034
          5.70000000       1409.93252837       3232.70118010
          5.80000000       1477.43904720       3446.90998624
          5.90000000       1541.07404178       3657.36153190
          6.00000000       1598.86898374       3858.83762189
          6.10000000       1648.83037450       4045.74205789
          6.20000000       1689.11025331       4212.52085147
          6.30000000       1718.19420225       4354.16792847
          6.40000000       1735.07559003       4466.74078186
          6.50000000       1739.38142001       4547.79164197
          6.60000000       1731.42200975       4596.62680581
          6.70000000       1712.15300334       4614.34168873
          6.80000000       1683.05864090       4603.63132438
          6.90000000       1645.98240537       4568.42663765
          7.00000000       1602.93937357       4513.43832867
          7.10000000       1555.94233113       4443.69477717
          7.20000000       1506.86377599       4364.14191956
          7.30000000       1457.34325397       4279.34293402
          7.40000000       1408.73847435       4193.28587772
          7.50000000       1362.11175254       4109.28610268
          7.60000000       1318.24079463       4029.95981411
          7.70000000       1277.64358486       3957.24391296
          7.80000000       1240.60964425       3892.44183445
          7.90000000       1207.23289198       3836.28202391
          8.00000000       1177.44392205       3788.98246221
          8.10000000       1151.04129519       3750.31977239
          8.20000000       1127.72230879       3719.70415700
          8.30000000       1107.11368223       3696.26147907
          8.40000000       1088.80186235       3678.92146556
          8.50000000       1072.36158194       3666.50725184
          8.60000000       1057.38043965       3657.81805545
          8.70000000       1043.47719040       3651.69577197
          8.80000000       1030.31246152       3647.06917382
          8.90000000       1017.59252866       3642.97584960
          9.00000000       1005.06882539       3638.56960964
          9.10000000        992.53701254       3633.12616156
          9.20000000        979.83899413       3626.05946599
          9.30000000        966.86926925       3616.95479857
          9.40000000        953.58427678       3605.61466166
          9.50000000        940.01116240       3592.10474360
          9.60000000        926.25171263       3576.78333111
          9.70000000        912.47836724       3560.30076241
          9.80000000        898.92166854       3543.56416231
          9.90000000        885.85111708       3527.67289065
         10.00000000        873.55311735       3513.83766507
         10.10000000        862.31001718       3503.29880429
         10.20000000        852.38334989       3497.25665633
         10.30000000        844.00288179       3496.82203437
         10.40000000        837.36158916       3502.98881449
         10.50000000        832.61564682       3516.62648822
         10.60000000        829.88801848       3538.48806944
         10.70000000        829.27420056       3569.22813636
         10.80000000        830.84890721       3609.42634883
         10.90000000        834.67282702       3659.61289323
         11.00000000        840.79891682       3720.29350980
         11.10000000        849.27796854       3791.97279331
         11.20000000        860.16337545       3875.17523038
         11.30000000        873.51514217       3970.46394966
         11.40000000        889.40324518       4078.45746152
         11.50000000        907.91047506       4199.84481133
         11.60000000        929.13489286       4335.39961843
         11.70000000        953.19202129       4485.99345949
         11.80000000        980.21687346       4652.60900999
         11.90000000       1010.36590204       4836.35329435
         12.00000000       1043.81893126       5038.47132360
         12.10000000       1080.78111380       5260.36032041
         12.20000000       1121.48493349       5503.58464146
         12.30000000       1166.19225230       5769.89140184
         12.40000000       1215.19637330       6061.22667378
         12.50000000       1268.82405952       6379.75196091
         12.60000000       1327.43740699       6727.86042111
         12.70000000       1391.43541690       7108.19200426
         12.80000000       1461.25504099       7523.64625702
         12.90000000       1537.37138098       7977.39099062
         13.00000000       1620.29660105       8472.86426658
         13.10000000       1710.57695407       9013.76618114
         13.20000000       1808.78712179       9604.03566919
         13.30000000       1915.52081884      10247.80595495
         13.40000000       2031.37631093      10949.33032123
         13.50000000       2156.93515362      11712.86756929
         13.60000000       2292.73209466      12542.51400741
         13.70000000       2439.21375017      13441.96631006
         13.80000000       2596.68345685      14414.19766713
         13.90000000       2765.22977798      15461.02922800
         14.00000000       2944.63674061      16582.58141040
         14.10000000       3134.27534161      17776.59730853
         14.20000000       3332.97859505      19037.64590611
         14.30000000       3538.90681511      20356.23896563
         14.40000000       3749.41616990      21717.93435031
         14.50000000       3960.95153798      23102.54936935
         14.60000000       4168.99315371      24483.66415484
         14.70000000       4368.09289286      25828.64220745
         14.80000000       4552.03636632      27099.40866585
         14.90000000       4714.15665858      28254.17657660
         15.00000000       4847.80135742      29250.17379734
         15.10000000       4946.91764369      30047.19970396
         15.20000000       5006.67872789      30611.57590895
         15.30000000       5024.04342624      30919.83668454
         15.40000000       4998.13512298      30961.43560841
         15.50000000       4930.35547332      30739.88982622
         15.60000000       4824.20637390      30272.12112168
         15.70000000       4684.86145488      29586.17217989
         15.80000000       4518.58127114      28717.82606186
         15.90000000       4332.08759080      27706.82293466
         16.00000000       4131.99962573      26593.32444211
         16.10000000       3924.39983404      25415.08114159
         16.20000000       3714.55538727      24205.50952044
         16.30000000       3506.78693082      22992.66753505
         16.40000000       3304.45529322      21798.97656551
         16.50000000       3110.02923124      20641.47800290
         16.60000000       2925.19937030      19532.41464650
         16.70000000       2751.01063269      18479.96379256
         16.80000000       2587.99397154      17488.99759244
         16.90000000       2436.28593456      16561.79247195
         17.00000000       2295.73053000      15698.64638611
         17.10000000       2165.96194789      14898.38897411
         17.20000000       2046.46920507      14158.78661552
         17.30000000       1936.64515578      13476.85429056
         17.40000000       1835.82292666      12849.09125191
         17.50000000       1743.30297322      12271.65947061
         17.60000000       1658.37377028      11740.52354440
         17.70000000       1580.32870323      11251.56854946
         17.80000000       1508.48103152      10800.70816689
         17.90000000       1442.17788893      10383.98948443
         18.00000000       1380.81328948       9997.69397822
